import time: self [us] | cumulative | imported package
import time:       654 |        654 |   _io
import time:        96 |         96 |   marshal
import time:      1488 |       1488 |   posix
import time:      1243 |       3479 | _frozen_importlib_external
import time:       302 |        302 |   time
import time:       345 |        646 | zipimport
import time:       189 |        189 |     _codecs
import time:       927 |       1116 |   codecs
import time:      1606 |       1606 |   encodings.aliases
import time:      1729 |       4451 | encodings
import time:       636 |        636 | encodings.utf_8
import time:       339 |        339 | _signal
import time:       123 |        123 |     _abc
import time:       383 |        506 |   abc
import time:       472 |        977 | io
import time:       143 |        143 |       _stat
import time:       167 |        310 |     stat
import time:      1754 |       1754 |     _collections_abc
import time:        87 |         87 |       genericpath
import time:       160 |        247 |     posixpath
import time:       755 |       3063 |   os
import time:       145 |        145 |   _sitebuiltins
import time:       558 |        558 |   encodings.utf_8_sig
import time:       555 |        555 |   types
import time:       546 |        546 |       warnings
import time:       303 |        848 |     importlib
import time:       364 |        364 |     importlib._abc
import time:       226 |       1438 |   importlib.util
import time:       105 |        105 |   importlib.machinery
import time:       975 |        975 |   _distutils_hack
import time:       222 |        222 |     apport_python_hook
import time:       252 |        474 |   sitecustomize
import time:       142 |        142 |   usercustomize
import time:      8977 |      16427 | site
import time:       167 |        167 |           _operator
import time:       557 |        723 |         operator
import time:       230 |        230 |             itertools
import time:       243 |        243 |             keyword
import time:       351 |        351 |             reprlib
import time:       229 |        229 |             _collections
import time:      1390 |       2440 |           collections
import time:       116 |        116 |           _functools
import time:      1098 |       3653 |         functools
import time:      2445 |       6820 |       enum
import time:       847 |       7666 |     numpy._globals
import time:       286 |        286 |     numpy.__config__
import time:       185 |        185 |     numpy._distributor_init
import time:       267 |        267 |         __future__
import time:       127 |        127 |                   _sre
import time:       613 |        613 |                     re._constants
import time:       587 |       1200 |                   re._parser
import time:       204 |        204 |                   re._casefix
import time:       680 |       2208 |                 re._compiler
import time:       296 |        296 |                 copyreg
import time:       846 |       3349 |               re
import time:       359 |        359 |                 _json
import time:       701 |       1059 |               json.scanner
import time:       790 |       5197 |             json.decoder
import time:       709 |        709 |             json.encoder
import time:       369 |       6275 |           json
import time:       181 |       6455 |         numpy._version
import time:       248 |       6969 |       numpy.version
import time:       395 |        395 |               _datetime
import time:       610 |       1004 |             datetime
import time:     15465 |      16468 |           numpy.core._multiarray_umath
import time:       610 |        610 |               numpy.compat._inspect
import time:       469 |        469 |                   fnmatch
import time:       215 |        215 |                   errno
import time:       383 |        383 |                     urllib
import time:       265 |        265 |                     math
import time:      8389 |       8389 |                     ipaddress
import time:      3446 |      12481 |                   urllib.parse
import time:       339 |        339 |                     _winapi
import time:       289 |        289 |                     nt
import time:       276 |        276 |                     nt
import time:       267 |        267 |                     nt
import time:       266 |        266 |                     nt
import time:       267 |        267 |                     nt
import time:       262 |        262 |                     nt
import time:       341 |       2304 |                   ntpath
import time:      2478 |      17944 |                 pathlib
import time:       285 |        285 |                 pickle5
import time:       251 |        251 |                     _struct
import time:       586 |        836 |                   struct
import time:       791 |        791 |                   _compat_pickle
import time:       578 |        578 |                   _pickle
import time:      5575 |       7779 |                 pickle
import time:       530 |      26536 |               numpy.compat.py3k
import time:       725 |      27871 |             numpy.compat
import time:       113 |      27983 |           numpy.compat._inspect
import time:       829 |      45279 |         numpy.core.overrides
import time:      1704 |      46983 |       numpy.core.multiarray
import time:       668 |        668 |       numpy.core.umath
import time:      2033 |       2033 |         numbers
import time:       615 |        615 |         numpy.core._string_helpers
import time:       570 |        570 |           numpy.core._dtype
import time:      1248 |       1818 |         numpy.core._type_aliases
import time:      1169 |       5634 |       numpy.core.numerictypes
import time:      1802 |       1802 |               contextlib
import time:       974 |        974 |               numpy.core._exceptions
import time:       479 |        479 |                 collections.abc
import time:       452 |        452 |                   _contextvars
import time:       398 |        850 |                 contextvars
import time:       887 |       2215 |               numpy.core._ufunc_config
import time:      1113 |       6102 |             numpy.core._methods
import time:      3187 |       9289 |           numpy.core.fromnumeric
import time:      1222 |      10510 |         numpy.core.shape_base
import time:      2046 |       2046 |         numpy.core.arrayprint
import time:       435 |        435 |         numpy.core._asarray
import time:      3526 |      16516 |       numpy.core.numeric
import time:      3305 |       3305 |       numpy.core.defchararray
import time:      1010 |       1010 |       numpy.core.records
import time:       537 |        537 |       numpy.core.memmap
import time:       715 |        715 |       numpy.core.function_base
import time:       463 |        463 |       numpy.core._machar
import time:       896 |        896 |       numpy.core.getlimits
import time:      1475 |       1475 |       numpy.core.einsumfunc
import time:       677 |        677 |         numpy.core._multiarray_tests
import time:      4327 |       5003 |       numpy.core._add_newdocs
import time:      1351 |       1351 |       numpy.core._add_newdocs_scalars
import time:       398 |        398 |       numpy.core._dtype_ctypes
import time:      4162 |       4162 |           _ast
import time:      5170 |       9331 |         ast
import time:      1199 |       1199 |           _ctypes
import time:       846 |        846 |           ctypes._endian
import time:      2943 |       4986 |         ctypes
import time:      2224 |      16540 |       numpy.core._internal
import time:       457 |        457 |       numpy._pytesttester
import time:      2024 |     110936 |     numpy.core
import time:       814 |        814 |       numpy.lib.mixins
import time:       542 |        542 |           numpy.lib.ufunclike
import time:      1081 |       1622 |         numpy.lib.type_check
import time:      1144 |       2766 |       numpy.lib.scimath
import time:       699 |        699 |                   numpy.lib.stride_tricks
import time:      1174 |       1873 |                 numpy.lib.twodim_base
import time:      2098 |       2098 |                 numpy.linalg._umath_linalg
import time:      2724 |       6694 |               numpy.linalg.linalg
import time:       478 |       7172 |             numpy.linalg
import time:       928 |       8099 |           numpy.matrixlib.defmatrix
import time:       461 |       8559 |         numpy.matrixlib
import time:       865 |        865 |           numpy.lib.histograms
import time:      3754 |       4618 |         numpy.lib.function_base
import time:      1306 |      14482 |       numpy.lib.index_tricks
import time:      1594 |       1594 |       numpy.lib.nanfunctions
import time:      1286 |       1286 |       numpy.lib.shape_base
import time:      1814 |       1814 |       numpy.lib.polynomial
import time:      2198 |       2198 |         textwrap
import time:      1348 |       3545 |       numpy.lib.utils
import time:       568 |        568 |       numpy.lib.arraysetops
import time:       371 |        371 |           _weakrefset
import time:       867 |       1237 |         weakref
import time:       412 |        412 |         numpy.lib.format
import time:       388 |        388 |         numpy.lib._datasource
import time:       615 |        615 |         numpy.lib._iotools
import time:      1126 |       3777 |       numpy.lib.npyio
import time:       266 |        266 |       numpy.lib.arrayterator
import time:       412 |        412 |       numpy.lib.arraypad
import time:       244 |        244 |       numpy.lib._version
import time:      1490 |      33052 |     numpy.lib
import time:       292 |        292 |         numpy.fft._pocketfft_internal
import time:       870 |       1162 |       numpy.fft._pocketfft
import time:       270 |        270 |       numpy.fft.helper
import time:       314 |       1745 |     numpy.fft
import time:       547 |        547 |         numpy.polynomial.polyutils
import time:       631 |        631 |         numpy.polynomial._polybase
import time:       705 |       1882 |       numpy.polynomial.polynomial
import time:       766 |        766 |       numpy.polynomial.chebyshev
import time:      1638 |       1638 |       numpy.polynomial.legendre
import time:       599 |        599 |       numpy.polynomial.hermite
import time:       553 |        553 |       numpy.polynomial.hermite_e
import time:       520 |        520 |       numpy.polynomial.laguerre
import time:       321 |       6277 |     numpy.polynomial
import time:       190 |        190 |               backports_abc
import time:      1184 |       1374 |             numpy.random._common
import time:       160 |        160 |                 binascii
import time:       501 |        660 |               base64
import time:      4681 |       4681 |                 _hashlib
import time:       121 |        121 |                   _blake2
import time:       538 |        659 |                 hashlib
import time:       424 |       5763 |               hmac
import time:        77 |         77 |                   _bisect
import time:       242 |        318 |                 bisect
import time:        71 |         71 |                 _random
import time:       232 |        232 |                 _sha2
import time:       691 |       1311 |               random
import time:       311 |       8044 |             secrets
import time:      1036 |       1036 |             threading
import time:      1115 |      11567 |           numpy.random.bit_generator
import time:       484 |        484 |           numpy.random._bounded_integers
import time:       375 |        375 |           numpy.random._mt19937
import time:      1602 |      14026 |         numpy.random.mtrand
import time:       392 |        392 |         numpy.random._philox
import time:       527 |        527 |         numpy.random._pcg64
import time:       331 |        331 |         numpy.random._sfc64
import time:       967 |        967 |         numpy.random._generator
import time:       474 |      16714 |       numpy.random._pickle
import time:       375 |      17088 |     numpy.random
import time:       906 |        906 |     numpy.ctypeslib
import time:        78 |         78 |               _opcode
import time:       886 |        964 |             opcode
import time:      1339 |       2302 |           dis
import time:       324 |        324 |               token
import time:        75 |         75 |               _tokenize
import time:      1484 |       1881 |             tokenize
import time:       278 |       2159 |           linecache
import time:      3962 |       8423 |         inspect
import time:      5074 |      13497 |       numpy.ma.core
import time:      1886 |       1886 |       numpy.ma.extras
import time:       412 |      15794 |     numpy.ma
import time:      3847 |     197778 |   numpy
import time:       639 |        639 |       scipy._lib._testutils
import time:       401 |       1039 |     scipy._lib
import time:       334 |       1373 |   scipy._lib.deprecation
import time:       666 |        666 |   scipy.__config__
import time:       192 |        192 |   scipy.version
import time:       168 |        168 |   scipy._distributor_init
import time:      4226 |       4226 |   scipy._lib._pep440
import time:       742 |        742 |     scipy._lib._ccallback_c
import time:       473 |       1215 |   scipy._lib._ccallback
import time:      7047 |     212660 | scipy
